"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"GBR",11845,6202,5643,314.78966497,-282.61935368,32.17031129
"GBR",11806,6238,5568,316.101402194,-281.54714094,34.554261254
"GBR",11668,6824,4844,341.199778164,-251.1309433,90.068834864
"GBR",11609,6463,5146,337.101594014,-253.6379923,83.463601714
"GBR",11780,5681,6099,287.033514624,-312.0738344,-25.040319776
"GBR",11760,5956,5804,302.549593967,-290.83746158,11.712132387
"GBR",11600,5925,5675,292.735001427,-294.78197212,-2.046970693
"GBR",11748,6032,5716,294.756437494,-303.78492514,-9.028487646
"GBR",11649,6423,5226,332.813204907,-255.12257922,77.690625687
"GBR",11962,6842,5120,366.502229244,-248.81548954,117.686739704
"GBR",11846,6293,5553,315.333926957,-284.6595566,30.674370357
"GBR",11904,6215,5689,316.133777857,-284.10364532,32.030132537
"GBR",11699,5661,6038,292.936436747,-298.06356892,-5.127132173
"GBR",11703,5832,5871,299.415125954,-288.3334374,11.081688554
"GBR",11770,6269,5501,305.648530564,-288.24064502,17.407885544
"GBR",11627,5787,5840,291.993361744,-295.98050524,-3.987143496
"GBR",11579,6014,5565,289.191772424,-293.17159106,-3.979818636
"GBR",11804,6175,5629,306.48671603,-290.17935742,16.30735861
"GBR",11866,6449,5417,344.02647955,-261.79978882,82.22669073
"GBR",11642,6389,5253,328.963307084,-258.0228245,70.940482584
"GBR",11891,6237,5654,315.946069634,-287.50234056,28.443729074
"GBR",11742,5350,6392,275.498624477,-317.55393848,-42.055314003
"GBR",11706,5831,5875,289.179226027,-307.07793526,-17.898709233
"GBR",11793,6585,5208,348.799448647,-247.15333472,101.646113927
"GBR",11694,6310,5384,331.09099441,-262.08938038,69.00161403
"GBR",11831,5857,5974,283.586769357,-308.9722807,-25.385511343
"GBR",11724,6193,5531,313.757398467,-281.19717256,32.560225907
"GBR",11781,6442,5339,344.747852507,-258.36335738,86.384495127
"GBR",11723,6167,5556,318.812548117,-277.12668286,41.685865257
"GBR",11751,5999,5752,300.282360807,-293.81139058,6.470970227
"GBR",11720,6489,5231,336.724687414,-260.6092701,76.115417314
"GBR",11646,6805,4841,346.46074398,-245.76757963,100.69316435
"GBR",11644,5858,5786,307.790624084,-282.77748396,25.013140124
"GBR",11620,5709,5911,272.213790127,-316.57506048,-44.361270353
"GBR",11656,5865,5791,287.30730521,-299.05353263,-11.74622742
"GBR",11674,5905,5769,284.17504449,-302.42177464,-18.24673015
