"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"GBR",1316,804,512,78.66735,-53.03547,25.63188
"GBR",1330,707,623,66.69287,-65.14449,1.54838
"GBR",1319,837,482,85.46464,-47.37554,38.0891
"GBR",1331,899,432,89.00822,-43.82509,45.18313
"GBR",1366,657,709,66.23956,-71.23447,-4.99491
"GBR",1311,740,571,69.36988,-60.56704,8.80284
"GBR",1262,638,624,65.01675,-61.67469,3.34206
"GBR",1370,623,747,63.26163,-74.08381,-10.82218
"GBR",1340,781,559,75.44329,-57.25349,18.1898
"GBR",1456,1079,377,106.51441,-39.31951,67.1949
"GBR",1417,662,755,62.58573,-77.29997,-14.71424
"GBR",1344,865,479,86.89059,-48.06477,38.82582
"GBR",1286,716,570,73.73615,-56.6384,17.09775
"GBR",1284,523,761,49.18637,-77.90717,-28.7208
"GBR",1303,593,710,54.71447,-74.85596,-20.14149
"GBR",1284,599,685,60.96767,-68.62826,-7.66059
"GBR",1288,458,830,44.13962,-83.89476,-39.75514
"GBR",1306,502,804,49.70799,-80.99643,-31.28844
"GBR",1381,917,464,91.85392,-47.56438,44.28954
"GBR",1296,755,541,76.3237,-54.43559,21.88811
"GBR",1370,748,622,74.6818,-62.80747,11.87433
"GBR",1258,601,657,61.13503,-65.11311,-3.97808
"GBR",1319,719,600,73.08318,-59.48903,13.59415
"GBR",1332,872,460,87.38057,-46.36383,41.01674
"GBR",1347,809,538,83.20567,-52.74627,30.4594
"GBR",1295,554,741,55.25756,-74.5664,-19.30884
"GBR",1327,742,585,70.57099,-60.81283,9.75816
"GBR",1349,878,471,87.09074,-48.6108,38.47994
"GBR",1333,775,558,76.54213,-56.85852,19.68361
"GBR",1364,713,651,66.33926,-68.27227,-1.93301
"GBR",1353,778,575,77.62404,-58.62966,18.99438
"GBR",1296,798,498,83.08578,-48.62128,34.4645
"GBR",1318,743,575,73.8541,-58.70703,15.14707
"GBR",1317,564,753,53.62563,-76.65502,-23.02939
"GBR",1256,596,660,55.52464,-69.62676,-14.10212
