"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"GBR",8889,4518,4371,228.02750848,-224.93339414,3.09411434
"GBR",8847,4593,4254,232.039196814,-222.09253896,9.946657854
"GBR",8756,5184,3572,263.184644374,-187.73411736,75.450527014
"GBR",8671,4812,3859,250.463102924,-195.40994066,55.053162264
"GBR",8820,4295,4525,221.047789744,-235.38815362,-14.340363876
"GBR",8889,4508,4381,225.971357467,-225.75414558,0.217211887
"GBR",8673,4441,4232,221.446332827,-221.64355192,-0.197219093
"GBR",8750,4428,4322,216.823914614,-234.72955346,-17.905638846
"GBR",8713,4772,3941,247.653124217,-198.73734328,48.915780937
"GBR",9005,5141,3864,278.542901964,-191.80481756,86.738084404
"GBR",8869,4511,4358,224.089776277,-232.30589152,-8.216115243
"GBR",8987,4627,4360,235.074066267,-221.50469878,13.569367487
"GBR",8747,4232,4515,222.020036557,-223.47498908,-1.454952523
"GBR",8762,4381,4381,222.798902764,-221.83314666,0.965756104
"GBR",8827,4685,4142,227.542463274,-222.94326948,4.599193794
"GBR",8665,4277,4388,214.576493964,-228.74331926,-14.166825296
"GBR",8754,4535,4219,216.253102324,-228.35248506,-12.099382736
"GBR",8818,4564,4254,225.36461094,-226.03161398,-0.66700304
"GBR",8880,4710,4170,254.63223807,-205.21930384,49.41293423
"GBR",8727,4729,3998,243.993536704,-202.53549692,41.458039784
"GBR",8900,4652,4248,236.471064844,-221.27277512,15.198289724
"GBR",8806,3951,4855,202.977918487,-246.21756444,-43.239645953
"GBR",8742,4336,4406,215.921748937,-233.84109432,-17.919345383
"GBR",8844,4841,4003,262.223615457,-191.52764158,70.695973877
"GBR",8744,4756,3988,249.50565292,-200.54561694,48.96003598
"GBR",8846,4465,4381,215.748344177,-232.75445932,-17.006115143
"GBR",8807,4559,4248,232.766824877,-219.51980482,13.247020057
"GBR",8877,4902,3975,263.112413007,-196.90494828,66.207464727
"GBR",8816,4656,4160,243.942046427,-208.72560402,35.216442407
"GBR",8828,4408,4420,217.222002807,-233.25971808,-16.037715273
"GBR",8762,4751,4011,249.398201724,-202.67077186,46.727429864
"GBR",8806,5153,3653,267.52279349,-184.95605089,82.5667426
"GBR",8706,4266,4440,223.107965394,-224.76700892,-1.659043526
"GBR",8706,4218,4488,197.698212037,-247.07378804,-49.375576003
"GBR",8738,4315,4423,210.62421482,-233.17487589,-22.55066107
"GBR",8687,4362,4325,205.2385209,-236.0930655,-30.8545446
"GBR",8749,4326,4423,207.009908804,-237.00720952,-29.997300716
"GBR",8742,4213,4529,193.181741994,-251.56932802,-58.387586026
"GBR",8865,4551,4314,217.314575864,-233.38770966,-16.073133796
"GBR",8788,4940,3848,248.821582537,-202.07236824,46.749214297
"GBR",8618,4312,4306,201.328839257,-238.21178018,-36.882940923
"GBR",8719,3948,4771,188.341630114,-259.05907446,-70.717444346
"GBR",8752,4746,4006,243.018735714,-210.41287066,32.605865054
"GBR",8670,4381,4289,209.096684814,-229.85065306,-20.753968246
"GBR",8865,4505,4360,225.493254147,-231.57855694,-6.085302793
"GBR",8747,5323,3424,278.77159374,-170.02028798,108.75130576
"GBR",8837,4376,4461,204.238538637,-242.59470004,-38.356161403
"GBR",8796,4766,4030,242.065196927,-209.92739492,32.137802007
"GBR",8857,4421,4436,236.240202487,-217.91681814,18.323384347
"GBR",8787,4017,4770,188.921202977,-258.78633612,-69.865133143
"GBR",8812,4759,4053,231.732523207,-220.11244348,11.620079727
"GBR",8683,4160,4523,199.591998637,-240.10823364,-40.516235003
"GBR",8780,4673,4107,235.473692227,-214.92409802,20.549594207
"GBR",8905,4673,4232,246.943406007,-213.57466488,33.368741127
