"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"AltaiNea",51,18,33,0.74072,-1.44765,-0.70693
"Denisovan",54,23,31,0.94419,-1.38305,-0.43886
"GBR",61,27,34,1.19292,-1.52789,-0.33497
"GBR",58,28,30,1.18557,-1.30661,-0.12104
"GBR",60,29,31,1.28098,-1.39917,-0.11819
"GBR",51,25,26,1.16562,-1.22879,-0.06317
"GBR",57,29,28,1.28791,-1.20942,0.07849
"GBR",65,28,37,1.27658,-1.60801,-0.33143
"GBR",59,29,30,1.32462,-1.37976,-0.05514
"GBR",57,29,28,1.34335,-1.26184,0.0815099999999999
"GBR",67,38,29,1.60128,-1.3105,0.29078
"GBR",58,30,28,1.37454,-1.23658,0.13796
"GBR",68,37,31,1.57646,-1.36747,0.20899
"GBR",69,36,33,1.49699,-1.44162,0.05537
"GBR",50,24,26,0.99318,-1.20014,-0.20696
"GBR",60,27,33,1.15146,-1.42126,-0.2698
"GBR",81,40,41,1.68108,-1.67115,0.00992999999999995
"GBR",59,29,30,1.22736,-1.36392,-0.13656
"GBR",67,34,33,1.50915,-1.44084,0.06831
"GBR",63,32,31,1.43224,-1.40108,0.0311599999999999
"GBR",67,34,33,1.41969,-1.45032,-0.03063
"GBR",57,29,28,1.18579,-1.2179,-0.03211
"GBR",70,36,34,1.53387,-1.49239,0.04148
"GBR",71,37,34,1.58154,-1.52224,0.0593
"GBR",66,35,31,1.53385,-1.36192,0.17193
"GBR",70,34,36,1.47331,-1.61741,-0.1441
"GBR",61,34,27,1.42923,-1.2311,0.19813
"GBR",66,31,35,1.30998,-1.54529,-0.23531
"GBR",61,32,29,1.35952,-1.28407,0.07545
"GBR",58,24,34,1.05387,-1.48653,-0.43266
"GBR",62,30,32,1.28936,-1.43102,-0.14166
"GBR",62,36,26,1.55279,-1.17641,0.37638
"GBR",64,35,29,1.48721,-1.2388,0.24841
"GBR",53,29,24,1.24448,-1.09725,0.14723
"GBR",62,29,33,1.22385,-1.44374,-0.21989
"GBR",60,22,38,0.97207,-1.70016,-0.72809
"GBR",62,35,27,1.57472,-1.15664,0.41808
"GBR",62,30,32,1.27863,-1.48543,-0.2068
"GBR",58,27,31,1.12128,-1.36182,-0.24054
"GBR",61,32,29,1.37663,-1.24875,0.12788
