"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"GBR",230,104,126,4.87307,-5.55427,-0.6812
"GBR",224,109,115,4.98064,-5.14289,-0.16225
"GBR",217,101,116,4.64151,-5.10121,-0.4597
"GBR",210,97,113,4.65477,-5.0521,-0.39733
"GBR",217,99,118,4.59379,-5.23345,-0.63966
"GBR",234,108,126,5.10871,-5.59323,-0.48452
"GBR",223,110,113,5.0917,-5.05179,0.03991
"GBR",231,115,116,5.29042,-5.00244,0.28798
"GBR",218,113,105,5.14817,-4.73134,0.41683
"GBR",213,108,105,5.11042,-4.5934,0.51702
"GBR",239,115,124,5.2985,-5.49719,-0.19869
"GBR",222,108,114,4.92853,-5.00831,-0.07978
"GBR",211,100,111,4.64774,-4.99968,-0.35194
"GBR",229,100,129,4.54121,-5.71673,-1.17552
"GBR",249,113,136,5.17367,-5.78389,-0.61022
"GBR",237,113,124,5.0711,-5.48202,-0.41092
"GBR",236,109,127,5.1805,-5.55546,-0.37496
"GBR",231,106,125,4.8871,-5.57007,-0.68297
"GBR",234,106,128,4.81196,-5.57624,-0.76428
"GBR",215,103,112,4.71603,-4.87458,-0.15855
"GBR",251,122,129,5.29534,-5.67162,-0.37628
"GBR",235,116,119,5.28334,-5.41625,-0.13291
"GBR",223,101,122,4.51292,-5.34122,-0.8283
"GBR",235,111,124,4.99778,-5.48471,-0.48693
"GBR",241,124,117,5.52152,-5.29572,0.2258
"GBR",220,106,114,4.91251,-5.06065,-0.14814
"GBR",231,109,122,4.98868,-5.34999,-0.36131
"GBR",209,102,107,4.80796,-4.70547,0.10249
"GBR",216,103,113,4.78587,-5.04974,-0.26387
"GBR",225,109,116,5.04147,-5.09707,-0.0556
"GBR",237,115,122,5.1319,-5.32417,-0.19227
"GBR",211,95,116,4.38405,-5.15432,-0.77027
"GBR",223,107,116,4.84229,-5.25494,-0.41265
"GBR",229,102,127,4.6944,-5.61608,-0.92168
"GBR",232,109,123,5.09517,-5.51514,-0.41997
"GBR",226,100,126,4.48956,-5.62613,-1.13657
"GBR",219,105,114,4.79829,-5.10492,-0.30663
"GBR",211,103,108,4.83049,-4.75319,0.0773
"GBR",231,113,118,5.0884,-5.15877,-0.0703700000000001
"GBR",212,106,106,4.87056,-4.71687,0.15369
"GBR",224,108,116,4.92532,-5.18553,-0.26021
"GBR",224,107,117,4.81889,-5.2282,-0.40931
"GBR",219,111,108,5.07267,-4.69028,0.38239
"GBR",225,113,112,5.10712,-4.86653,0.24059
"GBR",230,112,118,5.04531,-5.30662,-0.26131
"GBR",223,113,110,4.92,-4.86351,0.05649
"GBR",230,99,131,4.53384,-5.83055,-1.29671
"GBR",221,101,120,4.54355,-5.25551,-0.71196
"GBR",212,103,109,4.84795,-4.71468,0.13327
"GBR",225,107,118,4.94739,-5.20188,-0.25449
"GBR",225,104,121,4.92633,-5.14794,-0.22161
"GBR",224,114,110,5.13344,-4.81568,0.31776
"GBR",214,103,111,4.67367,-4.93687,-0.2632
"GBR",228,114,114,5.1417,-5.09624,0.04546
"GBR",223,105,118,4.63794,-5.46783,-0.82989
"FIN",247,115,132,5.19298,-5.74958,-0.5566
"FIN",221,114,107,5.16005,-4.74207,0.41798
"FIN",224,110,114,4.7671,-5.04609,-0.27899
"FIN",230,103,127,4.75415,-5.54279,-0.78864
"FIN",229,110,119,4.94234,-5.28232,-0.33998
"FIN",228,108,120,5.01379,-5.33241,-0.31862
"FIN",226,111,115,5.07592,-4.9622,0.11372
"FIN",232,114,118,5.24968,-5.10811,0.14157
"FIN",215,99,116,4.51173,-5.12162,-0.60989
"FIN",240,116,124,5.28598,-5.51822,-0.23224
"FIN",220,97,123,4.53897,-5.4214,-0.88243
"FIN",227,109,118,4.941,-5.23794,-0.29694
"FIN",225,108,117,4.9031,-5.04023,-0.13713
"FIN",222,106,116,4.87532,-5.09851,-0.22319
"FIN",224,106,118,4.87086,-5.17045,-0.29959
"FIN",234,105,129,4.7331,-5.64433,-0.91123
"FIN",225,103,122,4.76141,-5.30137,-0.53996
"GBR",219,103,116,4.72981,-5.11353,-0.38372
"GBR",230,106,124,4.77198,-5.53971,-0.76773
"GBR",211,101,110,4.67921,-4.82028,-0.14107
"GBR",243,109,134,5.09457,-5.90653,-0.81196
"GBR",226,117,109,5.34349,-4.71101,0.63248
"GBR",224,107,117,4.92216,-5.21169,-0.28953
"GBR",235,109,126,4.97098,-5.579,-0.60802
"GBR",218,97,121,4.55007,-5.27045,-0.72038
"GBR",241,112,129,4.96644,-5.80381,-0.83737
"GBR",228,103,125,4.61744,-5.57283,-0.95539
"GBR",231,103,128,4.83441,-5.74893,-0.91452
"GBR",224,104,120,4.69792,-5.33691,-0.63899
"GBR",234,109,125,4.89669,-5.58372,-0.68703
"GBR",236,115,121,5.16735,-5.2937,-0.12635
"GBR",222,107,115,4.7496,-5.07196,-0.32236
"GBR",228,107,121,4.80962,-5.39287,-0.58325
"GBR",240,115,125,5.10785,-5.48872,-0.38087
"GBR",218,104,114,4.74142,-5.10656,-0.36514
"GBR",228,112,116,5.10173,-5.01682,0.08491
"GBR",224,112,112,4.99535,-5.04715,-0.0518
"GBR",239,113,126,5.07229,-5.63768,-0.56539
"GBR",229,116,113,5.18755,-4.89996,0.28759
"GBR",241,121,120,5.55471,-5.46474,0.08997
"GBR",226,99,127,4.50021,-5.62399,-1.12378
"GBR",237,108,129,4.94118,-5.83227,-0.89109
"GBR",225,103,122,4.7024,-5.38425,-0.68185
"GBR",219,100,119,4.72669,-5.27237,-0.54568
"GBR",223,102,121,4.75921,-5.41699,-0.65778
"GBR",227,103,124,4.71398,-5.38119,-0.66721
"GBR",236,116,120,5.16007,-5.26969,-0.10962
"GBR",217,114,103,5.25283,-4.5816,0.67123
"FIN",231,111,120,4.98862,-5.36669,-0.37807
"FIN",228,112,116,4.94842,-5.21838,-0.26996
"FIN",209,97,112,4.44394,-5.00126,-0.55732
"FIN",237,115,122,5.16148,-5.28247,-0.12099
"FIN",227,106,121,4.87254,-5.38072,-0.50818
"FIN",222,105,117,4.96163,-5.23444,-0.27281
"FIN",214,98,116,4.38888,-5.13668,-0.7478
"FIN",224,111,113,4.8896,-4.94531,-0.05571
"FIN",247,112,135,4.6724,-5.77273,-1.10033
"FIN",229,113,116,5.24011,-5.17043,0.06968
"FIN",238,118,120,5.3932,-5.13268,0.26052
"FIN",238,109,129,4.8079,-5.65372,-0.84582
"FIN",229,112,117,5.14562,-5.14781,-0.00218999999999999
"FIN",224,105,119,4.86193,-5.30278,-0.44085
"FIN",231,112,119,5.11799,-5.2044,-0.08641
"FIN",223,104,119,4.68752,-5.28055,-0.59303
"FIN",235,110,125,5.06779,-5.46538,-0.39759
"FIN",216,95,121,4.28638,-5.39577,-1.10939
"FIN",241,109,132,4.95759,-5.77579,-0.8182
"FIN",227,109,118,4.85938,-5.12363,-0.26425
"FIN",225,110,115,5.03522,-5.00771,0.02751
"FIN",236,110,126,4.96019,-5.55804,-0.59785
"FIN",247,115,132,5.17678,-5.99493,-0.81815
"FIN",226,108,118,4.85154,-5.29356,-0.44202
"FIN",224,105,119,4.77381,-5.1519,-0.37809
"FIN",222,110,112,4.97689,-4.90699,0.0699
"FIN",214,105,109,4.774,-4.91318,-0.13918
"FIN",224,102,122,4.63291,-5.34668,-0.71377
"FIN",222,111,111,4.96085,-4.83608,0.12477
"FIN",225,98,127,4.45105,-5.64098,-1.18993
"FIN",230,105,125,4.74021,-5.20496,-0.46475
"FIN",228,107,121,4.8666,-5.2536,-0.387
"FIN",214,96,118,4.42667,-5.14453,-0.71786
"FIN",228,105,123,4.86648,-5.45063,-0.58415
"FIN",216,107,109,4.80763,-4.78356,0.02407
"FIN",231,110,121,5.01867,-5.22105,-0.20238
"FIN",232,116,116,5.32561,-5.09507,0.23054
"FIN",237,116,121,5.15926,-5.33306,-0.1738
"FIN",223,100,123,4.52782,-5.42493,-0.89711
"FIN",226,107,119,4.97265,-5.29611,-0.32346
"FIN",229,112,117,5.04661,-5.1905,-0.14389
"FIN",238,114,124,5.20182,-5.39909,-0.19727
"FIN",219,105,114,4.76128,-4.95859,-0.19731
"FIN",232,113,119,5.2321,-5.19765,0.03445
"FIN",221,106,115,4.76198,-5.21574,-0.45376
"FIN",227,114,113,5.40378,-4.99669,0.40709
"FIN",227,105,122,4.6362,-5.40098,-0.76478
"FIN",232,104,128,4.72793,-5.64004,-0.91211
"FIN",220,106,114,4.80327,-5.02392,-0.22065
"FIN",243,110,133,4.86965,-5.67818,-0.80853
"FIN",231,107,124,4.81695,-5.45548,-0.63853
"FIN",209,88,121,4.01259,-5.20592,-1.19333
"FIN",238,110,128,4.88256,-5.56196,-0.6794
"FIN",223,103,120,4.70905,-5.30362,-0.59457
"FIN",236,122,114,5.55221,-5.10832,0.44389
"FIN",229,107,122,4.78395,-5.3494,-0.56545
"FIN",231,118,113,5.21407,-4.83054,0.38353
"FIN",225,113,112,5.05442,-4.91163,0.14279
"FIN",223,113,110,5.35092,-4.96406,0.38686
"FIN",217,99,118,4.3619,-5.28867,-0.92677
"FIN",214,92,122,4.17331,-5.32693,-1.15362
"FIN",231,108,123,4.86738,-5.3946,-0.52722
"FIN",235,116,119,5.0246,-5.17608,-0.15148
"FIN",238,112,126,5.11582,-5.46203,-0.34621
"FIN",224,108,116,4.81615,-5.06603,-0.24988
"FIN",226,107,119,4.91098,-5.28784,-0.37686
"FIN",215,104,111,4.85044,-4.94168,-0.09124
"FIN",232,111,121,5.09452,-5.30059,-0.20607
"FIN",227,102,125,4.47423,-5.51429,-1.04006
"FIN",239,115,124,5.19602,-5.34504,-0.14902
"FIN",211,104,107,4.74838,-4.80914,-0.06076
"FIN",230,106,124,4.91049,-5.52641,-0.61592
"FIN",209,96,113,4.35112,-5.02191,-0.67079
"FIN",232,104,128,4.83203,-5.57838,-0.74635
"FIN",230,102,128,4.62328,-5.55335,-0.93007
"FIN",216,108,108,4.98376,-4.67777,0.30599
"FIN",222,108,114,4.84111,-5.10057,-0.25946
"FIN",242,110,132,5.03709,-5.73853,-0.70144
"FIN",205,90,115,4.1469,-5.1519,-1.005
"FIN",235,110,125,5.11226,-5.47792,-0.36566
"FIN",231,111,120,5.14451,-5.15094,-0.00643000000000001
"FIN",233,111,122,5.03445,-5.35685,-0.3224
"CHS",211,100,111,4.65619,-4.75789,-0.1017
"CHS",219,95,124,4.35668,-5.40197,-1.04529
"CHS",219,95,124,4.32735,-5.32222,-0.99487
"CHS",218,104,114,4.81338,-4.92516,-0.11178
"CHS",221,103,118,4.67654,-5.1236,-0.44706
"CHS",232,107,125,4.93394,-5.4849,-0.55096
"CHS",206,85,121,3.90747,-5.26576,-1.35829
"CHS",210,97,113,4.48337,-4.82042,-0.33705
"CHS",203,90,113,4.23473,-4.85245,-0.61772
"CHS",217,99,118,4.57543,-5.1343,-0.55887
"CHS",213,103,110,4.70322,-4.82387,-0.12065
"CHS",220,104,116,4.70243,-4.98752,-0.28509
"CHS",225,101,124,4.66474,-5.3763,-0.71156
"CHS",214,95,119,4.33317,-5.19411,-0.86094
"CHS",216,103,113,4.64465,-4.87078,-0.22613
"CHS",221,101,120,4.58382,-5.22895,-0.64513
"CHS",219,100,119,4.63243,-5.16736,-0.53493
"CHS",215,101,114,4.57958,-4.90776,-0.32818
"CHS",221,100,121,4.52306,-5.31238,-0.78932
"CHS",209,99,110,4.45945,-4.86895,-0.4095
"CHS",219,102,117,4.62806,-5.09377,-0.46571
"CHS",224,104,120,4.7076,-5.14783,-0.44023
"CHS",227,99,128,4.47066,-5.41111,-0.94045
"CHS",215,102,113,4.73558,-4.96374,-0.22816
"CHS",238,112,126,5.11638,-5.44032,-0.32394
"CHS",221,101,120,4.6412,-5.27788,-0.63668
"CHS",224,100,124,4.55408,-5.34391,-0.78983
"CHS",237,114,123,5.17528,-5.32263,-0.14735
"CHS",230,97,133,4.38192,-5.70206,-1.32014
"CHS",218,100,118,4.62497,-5.09394,-0.46897
"CHS",212,99,113,4.53014,-4.94747,-0.41733
"CHS",238,114,124,5.01988,-5.46885,-0.44897
"CHS",228,106,122,4.76172,-5.29998,-0.53826
"CHS",227,100,127,4.61501,-5.54058,-0.92557
"CHS",223,106,117,4.80155,-5.00279,-0.20124
"CHS",222,104,118,4.7394,-5.06986,-0.33046
"CHS",223,105,118,4.70943,-5.18083,-0.4714
"CHS",211,95,116,4.35592,-5.01701,-0.66109
"CHS",220,103,117,4.82343,-5.14794,-0.32451
"CHS",230,101,129,4.64826,-5.5952,-0.94694
"CHS",214,97,117,4.46654,-4.90191,-0.43537
"CHS",222,107,115,4.97461,-5.07316,-0.09855
"PUR",246,119,127,5.31195,-5.51325,-0.2013
"PUR",207,101,106,4.63979,-4.71768,-0.07789
"PUR",217,102,115,4.62389,-5.02697,-0.40308
"CHS",213,100,113,4.56868,-4.84186,-0.27318
"CHS",232,110,122,5.02561,-5.21358,-0.18797
"CHS",226,107,119,4.77398,-5.14841,-0.37443
"CHS",227,102,125,4.70415,-5.51972,-0.81557
"CHS",215,96,119,4.43218,-5.094,-0.66182
"CHS",220,100,120,4.56237,-5.17644,-0.61407
"CHS",221,101,120,4.54961,-5.30929,-0.75968
"CHS",230,102,128,4.6243,-5.49446,-0.87016
"CHS",234,107,127,4.97274,-5.50574,-0.533
"CHS",219,100,119,4.53792,-5.13913,-0.60121
"CHS",228,106,122,4.86515,-5.29429,-0.42914
"CHS",219,94,125,4.23393,-5.31159,-1.07766
"CHS",224,99,125,4.58741,-5.56486,-0.97745
"CHS",222,98,124,4.52092,-5.41394,-0.89302
"CHS",208,98,110,4.5896,-4.86409,-0.27449
"CHS",224,107,117,4.96756,-5.12003,-0.15247
"CHS",219,101,118,4.64233,-5.12409,-0.48176
"CHS",232,105,127,4.7175,-5.56039,-0.84289
"CHS",228,108,120,4.76706,-5.3112,-0.54414
"CHS",213,99,114,4.5399,-4.9409,-0.401
"CHS",227,104,123,4.7478,-5.28055,-0.53275
"CHS",215,93,122,4.1926,-5.28135,-1.08875
"CHS",218,101,117,4.66983,-5.06259,-0.39276
"CHS",226,102,124,4.66374,-5.40811,-0.74437
"CHS",223,99,124,4.49049,-5.36585,-0.87536
"CHS",227,110,117,4.99792,-5.1186,-0.12068
"CHS",213,96,117,4.41403,-5.0117,-0.59767
"CHS",213,106,107,4.84542,-4.67491,0.17051
"CHS",241,116,125,5.20183,-5.30143,-0.0996
"CHS",208,93,115,4.30978,-4.98863,-0.67885
"CHS",222,96,126,4.35946,-5.50839,-1.14893
"CHS",218,101,117,4.65345,-5.03594,-0.38249
"CHS",211,98,113,4.52367,-5.0211,-0.49743
"CHS",215,102,113,4.64338,-4.82395,-0.18057
"CHS",212,102,110,4.6139,-4.81066,-0.19676
"PUR",237,108,129,4.80275,-5.83777,-1.03502
"PUR",206,97,109,4.56311,-4.75288,-0.18977
"PUR",215,104,111,4.74006,-4.88145,-0.14139
"PUR",219,103,116,4.70343,-5.02936,-0.32593
"CHS",209,97,112,4.45061,-4.76366,-0.31305
"CHS",204,100,104,4.63147,-4.54273,0.08874
"CHS",229,109,120,4.93411,-5.22701,-0.2929
"CHS",219,97,122,4.39551,-5.37493,-0.97942
"CHS",224,108,116,4.8249,-5.03226,-0.20736
"CHS",218,97,121,4.54092,-5.32966,-0.78874
"CHS",222,105,117,4.85648,-5.24196,-0.38548
"CHS",223,103,120,4.74672,-5.24278,-0.49606
"CHS",225,107,118,4.80366,-5.22036,-0.4167
"CHS",218,100,118,4.64986,-5.03552,-0.38566
"CHS",219,98,121,4.63173,-5.26712,-0.63539
"CHS",223,104,119,4.8302,-5.13633,-0.30613
"CHS",217,95,122,4.40391,-5.2463,-0.84239
"CHS",219,94,125,4.3228,-5.49289,-1.17009
"CHS",217,99,118,4.46277,-5.12524,-0.66247
"CHS",228,103,125,4.88533,-5.54682,-0.66149
"CHS",231,97,134,4.49965,-5.86298,-1.36333
"CHS",230,103,127,4.6225,-5.44551,-0.82301
"CHS",228,101,127,4.64674,-5.62555,-0.97881
"CHS",215,100,115,4.67997,-4.90782,-0.22785
"CHS",221,100,121,4.72003,-5.23596,-0.51593
"CHS",221,101,120,4.69101,-5.25513,-0.56412
"CHS",226,103,123,4.59711,-5.29832,-0.70121
"CHS",203,90,113,4.23796,-4.95799,-0.72003
"CHS",225,105,120,4.9686,-5.26513,-0.29653
"CHS",213,95,118,4.37187,-5.06507,-0.6932
"CHS",208,99,109,4.59686,-4.75426,-0.1574
"CHS",219,86,133,4.04095,-5.87207,-1.83112
"PUR",228,109,119,4.96564,-5.16075,-0.19511
"PUR",223,105,118,4.76632,-5.08927,-0.32295
"PUR",209,100,109,4.5094,-4.74432,-0.23492
"PUR",225,106,119,4.69323,-5.22112,-0.52789
"PUR",214,99,115,4.4213,-5.15344,-0.73214
"PUR",229,97,132,4.50334,-5.90949,-1.40615
"PUR",226,106,120,4.88623,-5.32389,-0.43766
"PUR",231,115,116,5.16422,-5.13548,0.02874
"PUR",219,103,116,4.61372,-5.09271,-0.47899
"CDX",234,107,127,4.84409,-5.52961,-0.68552
"CDX",217,97,120,4.46234,-5.13444,-0.6721
"CDX",217,102,115,4.66004,-4.91597,-0.25593
"CDX",225,95,130,4.32354,-5.61109,-1.28755
"CDX",214,98,116,4.46863,-5.01759,-0.54896
"CDX",221,103,118,4.56997,-5.16732,-0.59735
"CDX",211,102,109,4.57601,-4.80235,-0.22634
"CDX",217,97,120,4.26141,-5.17366,-0.91225
"CDX",213,93,120,4.17477,-5.24816,-1.07339
"CDX",228,107,121,4.811,-5.29866,-0.48766
"CDX",211,99,112,4.4457,-4.82452,-0.37882
"CDX",221,101,120,4.57882,-5.07812,-0.4993
"CDX",231,110,121,5.03152,-5.25222,-0.2207
"CDX",227,102,125,4.71964,-5.46356,-0.74392
"CDX",212,102,110,4.64609,-4.70432,-0.05823
"PUR",223,107,116,4.85155,-5.14814,-0.29659
"PUR",229,109,120,4.89575,-5.42756,-0.53181
