"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
NA,3491,1884,1607,82.7034866,-81.16088328,1.54260332
"GBR",4004,2143,1861,110.1693358,-83.89954004,26.26979576
"GBR",3911,2045,1866,101.5776774,-86.99868588,14.57899152
"GBR",3832,2277,1555,107.9523606,-76.73272104,31.21963956
"GBR",3833,2201,1632,112.5593159,-72.79243374,39.76688216
"GBR",3861,1817,2044,89.6616083,-97.12045758,-7.45884928
"GBR",3914,2109,1805,108.1856134,-81.2998373,26.8857761
"GBR",3842,2036,1806,98.6597241,-85.6258141,13.03391
"GBR",3897,1994,1903,96.6511341,-94.53454448,2.11658962
"GBR",3893,2156,1737,112.2931979,-74.67278584,37.62041206
"GBR",3874,2142,1732,111.4642856,-77.26384688,34.20043872
"GBR",3957,2227,1730,110.3789257,-80.79450428,29.58442142
"GBR",3992,2125,1867,106.0648301,-85.01056784,21.05426226
"GBR",3906,1849,2057,93.7362015,-95.29428764,-1.55808614
"GBR",3911,2021,1890,106.4448299,-78.67607394,27.76875596
"GBR",3919,2092,1827,100.8225399,-89.62196404,11.20057586
"GBR",3851,1812,2039,90.6991825,-95.26557888,-4.56639638
"GBR",3873,1953,1920,88.0478152,-95.6252645,-7.5774493
"GBR",3933,2109,1824,104.0305139,-87.03917404,16.99133986
"GBR",3855,2126,1729,103.3645966,-83.05306368,20.31153292
"GBR",3883,2129,1754,107.3164304,-78.54627218,28.77015822
"GBR",3989,1985,2004,95.8784387,-95.03102214,0.84741656
"GBR",3985,1867,2118,96.1468501,-96.04664534,0.10020476
"GBR",3881,2004,1877,98.2133428,-92.94371684,5.26962596
"GBR",3913,2100,1813,105.1350667,-78.74934334,26.38572336
"GBR",3847,1976,1871,101.19496,-84.55601504,16.63894496
"GBR",3912,1830,2082,89.4937677,-98.26341808,-8.76965038
"GBR",3890,2092,1798,101.144175,-85.02942804,16.11474696
"GBR",3907,1966,1941,107.0868957,-83.6603801,23.4265156
"GBR",3960,2062,1898,101.3301644,-89.50262364,11.82754076
"GBR",4024,2040,1984,100.1893115,-92.6359,7.5534115
"GBR",3925,2282,1643,114.254152,-76.23818904,38.01596296
"GBR",3881,2234,1647,109.6163093,-75.28743054,34.32887876
"GBR",3917,1873,2044,96.7095069,-92.40633814,4.30316876
"GBR",3858,1971,1887,93.2971762,-94.50050924,-1.20333304
"GBR",3869,1876,1993,91.4619602,-96.03872974,-4.57676954
"GBR",3819,2008,1811,93.7012875,-90.37586054,3.32542696
"GBR",3952,2168,1784,105.1947708,-86.13867104,19.05609976
"GBR",3881,1882,1999,79.1038402,-106.32473684,-27.22089664
"GBR",3944,2221,1723,105.658881,-82.99175184,22.66712916
"GBR",3825,2093,1732,96.812284,-86.98620134,9.82608266
"GBR",3869,1963,1906,92.0105044,-96.17094298,-4.16043858
"GBR",3914,1631,2283,80.4537059,-109.6809473,-29.2272414
"GBR",3941,2209,1732,112.7157969,-80.04215994,32.67363696
"GBR",4016,2132,1884,102.7827297,-90.82941784,11.95331186
"GBR",3912,2045,1867,101.8311628,-89.87677834,11.95438446
"GBR",3902,2332,1570,117.3671589,-67.85336164,49.51379726
"GBR",3976,1988,1988,93.6039694,-99.49072288,-5.88675348
"GBR",3787,1923,1864,91.5561717,-91.12897114,0.42720056
"GBR",3919,1899,2020,100.1462362,-89.23881798,10.90741822
"GBR",3801,1683,2118,85.4125216,-100.70518608,-15.29266448
"GBR",3849,1997,1852,98.6548363,-86.2588358,12.3960005
"GBR",3837,1781,2056,82.4960099,-98.04122128,-15.54521138
"GBR",3797,2142,1655,105.0171304,-78.46544918,26.55168122
"GBR",3924,2057,1867,105.031375,-85.87103184,19.16034316
"GBR",3942,2095,1847,95.6108333,-93.78959508,1.82123822
"FIN",3791,2070,1721,101.9250368,-82.40767338,19.51736342
"FIN",3854,2191,1663,107.1098474,-77.51220388,29.59764352
"FIN",3883,2106,1777,104.7521312,-80.15146114,24.60067006
"FIN",3900,2433,1467,122.4423666,-65.95111914,56.49124746
"FIN",3890,1788,2102,90.9350028,-97.50286414,-6.56786134
"FIN",4004,2235,1769,115.5065836,-76.72838404,38.77819956
"FIN",3915,1915,2000,94.2183587,-94.29797588,-0.07961718
"FIN",3858,2128,1730,100.3729738,-84.11389454,16.25907926
"FIN",3752,2085,1667,97.5653361,-82.5627199,15.0026162
"FIN",3866,1873,1993,91.5736848,-93.63131158,-2.05762678
"FIN",3949,1811,2138,85.7047347,-105.08147334,-19.37673864
"FIN",3899,1970,1929,98.1963688,-92.51335784,5.68301096
"FIN",3857,1774,2083,86.5247559,-98.97955098,-12.45479508
"FIN",3974,2005,1969,98.4010731,-95.25082964,3.15024346
"FIN",3975,2038,1937,99.9667804,-91.25272738,8.71405302
"FIN",3890,1985,1905,93.6309355,-94.72361638,-1.09268088
"FIN",3982,2293,1689,115.5418926,-74.75844714,40.78344546
"GBR",4036,2002,2034,104.9177174,-89.5663091,15.3514083
